stopword,support,pos,neu,neg,corpus
the,53266,0.4158187211354335,0.3051102016295573,0.2790710772350092,Gutenberg
and,47479,0.43261231281198004,0.28616862191705805,0.2812190652709619,Gutenberg
of,38139,0.4507721754634364,0.2629853955268885,0.2862424290096751,Gutenberg
to,30997,0.46940026454172984,0.24557215214375586,0.28502758331451433,Gutenberg
in,24350,0.471088295687885,0.2314989733059548,0.29741273100616017,Gutenberg
a,23957,0.4783570563927036,0.23462870977167424,0.28701423383562213,Gutenberg
that,21935,0.45602917711420105,0.2372008206063369,0.30677000227946205,Gutenberg
i,19880,0.4446177062374245,0.29159959758551307,0.26378269617706235,Gutenberg
he,18626,0.4090518629872222,0.30350048319553313,0.2874476538172447,Gutenberg
it,17270,0.43786913723219456,0.28152866242038216,0.2806022003474233,Gutenberg
for,15612,0.4846912631309249,0.21669228798360235,0.29861644888547273,Gutenberg
not,15341,0.43289224952741023,0.2527866501531843,0.3143211003194055,Gutenberg
his,14777,0.4545577586790282,0.24659944508357584,0.29884279623739596,Gutenberg
was,14641,0.4535209343624069,0.25380780001366027,0.2926712656239328,Gutenberg
with,14099,0.48599191432016453,0.21880984466983475,0.2951982410100007,Gutenberg
is,13344,0.44514388489208634,0.27188249400479614,0.2829736211031175,Gutenberg
be,12942,0.5008499459125328,0.21225467470251894,0.28689537938494825,Gutenberg
but,12882,0.4571495109455054,0.21984163949697252,0.3230088495575221,Gutenberg
you,11842,0.4357372065529471,0.3328829589596352,0.23137983448741767,Gutenberg
all,11298,0.4724730040715171,0.25172596919808815,0.27580102673039475,Gutenberg
as,10759,0.5133376707872479,0.20317873408309323,0.28348359512965887,Gutenberg
him,10142,0.43157168211398145,0.2794320646815224,0.2889962532044962,Gutenberg
they,9919,0.40286319185401753,0.2973081963907652,0.29982861175521724,Gutenberg
have,8470,0.4613931523022432,0.2409681227863046,0.29763872491145216,Gutenberg
had,8162,0.48272482234746383,0.21159029649595687,0.30568488115657927,Gutenberg
this,8093,0.443716792289633,0.2687507722723341,0.28753243543803286,Gutenberg
them,8050,0.43788819875776397,0.26571428571428574,0.2963975155279503,Gutenberg
at,8050,0.4648447204968944,0.2413664596273292,0.2937888198757764,Gutenberg
my,7861,0.4867065258872917,0.2492049357588093,0.264088538353899,Gutenberg
from,7629,0.46388779656573603,0.22440686852798533,0.31170533490627866,Gutenberg
which,7437,0.5006050826946349,0.2073416700282372,0.2920532472771279,Gutenberg
me,7408,0.45680345572354214,0.26768358531317493,0.27551295896328293,Gutenberg
on,7305,0.4588637919233402,0.2487337440109514,0.2924024640657084,Gutenberg
her,7129,0.524056669939683,0.2053583952868565,0.2705849347734605,Gutenberg
by,7056,0.4880952380952381,0.20238095238095238,0.30952380952380953,Gutenberg
so,6927,0.4681680381117367,0.24714883788075645,0.28468312400750684,Gutenberg
she,6181,0.5059051933344119,0.22941271638893382,0.26468209027665424,Gutenberg
are,5898,0.42743302814513395,0.29365886741268227,0.2789081044421838,Gutenberg
were,5891,0.4393142081140723,0.2899337973179426,0.27075199456798504,Gutenberg
there,5823,0.4174823973896617,0.26257942641250215,0.31993817619783615,Gutenberg
when,5820,0.424914089347079,0.2381443298969072,0.33694158075601377,Gutenberg
will,5818,0.4824682021313166,0.2583361980061877,0.2591955998624957,Gutenberg
their,5637,0.46549583111584175,0.22245875465673232,0.31204541422742593,Gutenberg
what,5306,0.3671315491895967,0.41104410101771577,0.22182434979268753,Gutenberg
no,5224,0.3524119448698316,0.069104134762634,0.5784839203675345,Gutenberg
out,5173,0.41426638314324377,0.2754687802049101,0.3102648366518461,Gutenberg
do,5047,0.42460867842282546,0.32653061224489793,0.2488607093322766,Gutenberg
then,4874,0.3970045137464095,0.30508822322527696,0.2979072630283135,Gutenberg
or,4831,0.48105982198302627,0.1922997309045746,0.3266404471123991,Gutenberg
if,4698,0.4761600681140911,0.2064708386547467,0.3173690932311622,Gutenberg
up,4610,0.40607375271149676,0.29718004338394793,0.2967462039045553,Gutenberg
an,4480,0.47299107142857144,0.22924107142857142,0.29776785714285714,Gutenberg
now,4403,0.4565069270951624,0.2666363842834431,0.2768566886213945,Gutenberg
your,3973,0.49383337528316135,0.2534608608104707,0.252705763906368,Gutenberg
we,3908,0.44114636642784033,0.2804503582395087,0.27840327533265097,Gutenberg
who,3831,0.4685460715217959,0.2440616027146959,0.2873923257635082,Gutenberg
into,3769,0.43353674714778456,0.25258689307508625,0.3138763597771292,Gutenberg
very,3645,0.5849108367626886,0.1709190672153635,0.24417009602194786,Gutenberg
more,3636,0.4898239823982398,0.16831683168316833,0.3418591859185919,Gutenberg
before,3202,0.4428482198625859,0.2713928794503435,0.2857589006870706,Gutenberg
any,3067,0.48972937724160415,0.19432670361917184,0.315943919139224,Gutenberg
did,3058,0.3783518639633748,0.3237410071942446,0.29790712884238063,Gutenberg
been,3022,0.4947054930509596,0.1929185969556585,0.3123759099933819,Gutenberg
than,2686,0.5711094564408041,0.1381236038719285,0.2907669396872673,Gutenberg
can,2651,0.4488872123726895,0.2776310826103357,0.2734817050169747,Gutenberg
these,2650,0.4358490566037736,0.3071698113207547,0.2569811320754717,Gutenberg
down,2615,0.38317399617590825,0.2841300191204589,0.3326959847036329,Gutenberg
after,2527,0.42026117926394935,0.26869806094182824,0.3110407597942224,Gutenberg
am,2525,0.5017821782178218,0.23564356435643563,0.2625742574257426,Gutenberg
some,2496,0.4855769230769231,0.20112179487179488,0.31330128205128205,Gutenberg
about,2444,0.4234860883797054,0.2905073649754501,0.28600654664484454,Gutenberg
how,2436,0.4330870279146141,0.30952380952380953,0.25738916256157635,Gutenberg
only,2381,0.49769004619907603,0.21545569088618227,0.2868542629147417,Gutenberg
such,2343,0.5168587281263337,0.16517285531370038,0.3179684165599659,Gutenberg
should,2311,0.4993509303331891,0.20250973604500216,0.2981393336218087,Gutenberg
other,2303,0.47894051237516283,0.24272687798523665,0.27833260963960055,Gutenberg
over,2253,0.4318686196182867,0.28806036395916557,0.2800710164225477,Gutenberg
our,2085,0.5510791366906475,0.19040767386091126,0.25851318944844126,Gutenberg
own,2069,0.52730787820203,0.20492991783470277,0.2677622039632673,Gutenberg
against,1999,0.3476738369184592,0.2051025512756378,0.447223611805903,Gutenberg
again,1990,0.41457286432160806,0.31256281407035175,0.2728643216080402,Gutenberg
o,1813,0.47876447876447875,0.2625482625482625,0.25868725868725867,Gutenberg
because,1752,0.4160958904109589,0.170662100456621,0.4132420091324201,Gutenberg
where,1660,0.4234939759036145,0.3192771084337349,0.2572289156626506,Gutenberg
here,1614,0.4225526641883519,0.33271375464684017,0.24473358116480792,Gutenberg
himself,1602,0.48626716604244696,0.20162297128589263,0.3121098626716604,Gutenberg
being,1561,0.5458039718129404,0.15054452274183217,0.3036515054452274,Gutenberg
those,1554,0.4716859716859717,0.21428571428571427,0.31402831402831405,Gutenberg
has,1524,0.4625984251968504,0.24671916010498687,0.29068241469816275,Gutenberg
off,1479,0.40162271805273836,0.23664638269100743,0.36173089925625423,Gutenberg
through,1424,0.46769662921348315,0.1853932584269663,0.34691011235955055,Gutenberg
most,1406,0.5960170697012802,0.13726884779516357,0.26671408250355616,Gutenberg
nor,1362,0.46402349486049926,0.17180616740088106,0.3641703377386197,Gutenberg
too,1350,0.5,0.20592592592592593,0.2940740740740741,Gutenberg
whom,1314,0.5007610350076104,0.23820395738203956,0.2610350076103501,Gutenberg
just,1274,0.45368916797488223,0.27629513343799056,0.27001569858712715,Gutenberg
why,1204,0.29817275747508304,0.4269102990033223,0.2749169435215947,Gutenberg
while,1172,0.53839590443686,0.17064846416382254,0.2909556313993174,Gutenberg
same,1141,0.4680105170902717,0.27169149868536374,0.26029798422436456,Gutenberg
its,1122,0.4964349376114082,0.1586452762923351,0.3449197860962567,Gutenberg
under,1044,0.4827586206896552,0.210727969348659,0.3065134099616858,Gutenberg
both,1030,0.5019417475728155,0.20485436893203884,0.29320388349514565,Gutenberg
herself,906,0.5640176600441501,0.1357615894039735,0.30022075055187636,Gutenberg
once,893,0.45352743561030234,0.21500559910414332,0.3314669652855543,Gutenberg
myself,728,0.4793956043956044,0.21153846153846154,0.3090659340659341,Gutenberg
themselves,727,0.45392022008253097,0.2200825309491059,0.32599724896836313,Gutenberg
each,720,0.5555555555555556,0.175,0.26944444444444443,Gutenberg
between,718,0.4568245125348189,0.23259052924791088,0.31058495821727017,Gutenberg
having,692,0.5838150289017341,0.12283236994219653,0.29335260115606937,Gutenberg
does,647,0.43585780525502316,0.3168469860896445,0.2472952086553323,Gutenberg
few,641,0.4960998439937597,0.20436817472698907,0.2995319812792512,Gutenberg
above,522,0.5478927203065134,0.21839080459770116,0.23371647509578544,Gutenberg
until,488,0.3319672131147541,0.3319672131147541,0.3360655737704918,Gutenberg
itself,356,0.4550561797752809,0.17134831460674158,0.37359550561797755,Gutenberg
yourself,280,0.48214285714285715,0.2714285714285714,0.24642857142857144,Gutenberg
doing,256,0.46875,0.2109375,0.3203125,Gutenberg
yourselves,216,0.46296296296296297,0.22685185185185186,0.3101851851851852,Gutenberg
further,173,0.37572254335260113,0.23699421965317918,0.3872832369942196,Gutenberg
yours,145,0.5172413793103449,0.2896551724137931,0.19310344827586207,Gutenberg
below,135,0.37777777777777777,0.2740740740740741,0.34814814814814815,Gutenberg
ourselves,119,0.5042016806722689,0.16806722689075632,0.3277310924369748,Gutenberg
during,117,0.49572649572649574,0.17094017094017094,0.3333333333333333,Gutenberg
hers,63,0.8095238095238095,0.06349206349206349,0.12698412698412698,Gutenberg
ours,60,0.5666666666666667,0.23333333333333334,0.2,Gutenberg
theirs,52,0.6153846153846154,0.1346153846153846,0.25,Gutenberg
won,45,0.8222222222222222,0.06666666666666667,0.1111111111111111,Gutenberg
d,43,0.3488372093023256,0.46511627906976744,0.18604651162790697,Gutenberg
don,25,0.36,0.36,0.28,Gutenberg
ma,17,0.5882352941176471,0.4117647058823529,0.0,Gutenberg
t,12,0.75,0.16666666666666666,0.08333333333333333,Gutenberg
m,12,0.25,0.4166666666666667,0.3333333333333333,Gutenberg
haven,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,Gutenberg
y,5,0.4,0.2,0.4,Gutenberg
ain,5,0.2,0.8,0.0,Gutenberg
